contract_name,last_trade_date,strike_price,last_price,bid_price,ask_price,implied_volatility
AMZN180323C01060000,2018-02-02 11:46PM EST,1060,385.9,373.7,378.7,92.12%
AMZN180323C01070000,2018-02-02 11:46PM EST,1070,396.3,363.85,368.85,90.16%
AMZN180323C01100000,2018-02-02 11:46PM EST,1100,379.7,334.45,339.45,84.42%
AMZN180323C01170000,2018-02-02 11:46PM EST,1170,261.55,266.9,271.9,71.89%
AMZN180323C01190000,2018-02-05 12:22PM EST,1190,258.05,226.2,231.2,53.17%
AMZN180323C01200000,2018-02-05 9:32AM EST,1200,214.75,218.6,223.55,53.13%
AMZN180323C01240000,2018-02-05 10:10AM EST,1240,212,182.8,187.6,50.16%
AMZN180323C01250000,2018-02-05 2:58PM EST,1250,179.65,174.9,179.9,49.71%
AMZN180323C01270000,2018-02-05 2:52PM EST,1270,173.7,157.9,162.9,47.63%
AMZN180323C01290000,2018-02-02 11:46PM EST,1290,178.5,159.85,164.2,54.58%
AMZN180323C01310000,2018-02-05 9:43AM EST,1310,127.7,128.85,133.65,45.55%
AMZN180323C01340000,2018-02-05 1:37PM EST,1340,129.75,109.9,113.85,44.34%
AMZN180323C01350000,2018-02-05 11:40AM EST,1350,122.33,103.65,107,43.65%
AMZN180323C01360000,2018-02-05 12:34PM EST,1360,120.2,97.95,102.3,43.97%
AMZN180323C01370000,2018-02-05 1:31PM EST,1370,108.1,90.95,95.5,43.13%
AMZN180323C01400000,2018-02-05 1:44PM EST,1400,90.44,74.65,78.2,41.65%
AMZN180323C01415000,2018-02-05 3:05PM EST,1415,70,67.3,71.25,41.45%
AMZN180323C01425000,2018-02-05 2:52PM EST,1425,71.4,62.65,66.8,41.29%
AMZN180323C01430000,2018-02-05 2:48PM EST,1430,69.77,60.6,64.9,41.34%
AMZN180323C01432500,2018-02-05 2:55PM EST,1432.5,61.5,59.4,63.7,41.23%
